ruleoflaw,region,outofschool,healthexpend,gdpgrow,gdp,life,water,unemploy
Medium,Europe,2.75,2.8,High,6846.43,78.77,70.74,10.79
High,Europe,1.64,8.64,High,52176.66,81.3,98.9,4.99
Low,Asia,12.9,1.21,High,7770.59,74.13,71.61,5.65
Low,Asia,17.53,0.15,High,2716.49,74.27,59.11,4.59
Low,Europe,6.05,4.5,Negative,7994.65,74.1,93.1,3.57
High,Europe,1.28,8.09,High,50822.25,81.75,99.74,5.57
Medium,Europe,6.25,5.73,High,7655.59,76.78,86.97,12.66
Medium,Americas,3.84,4.1,Moderate,9281.33,74.87,87.26,9.23
Medium,Europe,5.37,4.79,High,13999.67,74.16,95.65,4.27
High,Americas,0.51,8,Moderate,56256.8,81.25,99.04,5.28
High,Americas,0.78,5.07,Moderate,15405.62,79.18,98.77,8.25
Medium,Americas,4.44,5.33,High,6680.45,76.51,73.86,10.55
Medium,Americas,5.22,4.95,High,13625.9,79.32,80.51,11.33
Medium,Africa,44.61,1.34,High,2333.37,61.56,43.89,2.31
High,Europe,0.5,7.11,High,33894.45,80.43,99.77,6.81
High,Europe,0.02,7.46,Moderate,28282.22,78.93,97.88,2.22
High,Europe,0.8,7.96,Moderate,68091.32,81.3,99.92,4.43
Medium,Americas,11.24,2.67,High,10104.24,74.21,44.94,5.5
Low,Americas,2.75,4.6,High,6515.59,76.58,67.09,3.71
High,Europe,1.56,5.22,Negative,28451.15,77.84,97.02,5.57
High,Europe,1.72,7.89,Moderate,50440.56,81.19,99.64,6.72
High,Europe,0.19,8.96,Moderate,41082.81,82.13,99.7,7.3
High,Europe,1.42,10.13,Moderate,49686.12,80.61,99.92,3.12
Medium,Europe,0.99,4.6,High,20971.83,80.79,98.88,12.43
Low,Americas,37.41,2.43,Moderate,5358.7,71.21,56.29,3.05
Low,Americas,45.06,3.37,Moderate,3003.29,72.72,65.21,8.77
Medium,Europe,4.78,4.84,High,18483.64,75.87,100,3.61
High,Europe,1.29,7.86,High,75121.02,82.12,100,3.79
Medium,Asia,5.34,1.39,High,4730.83,70.93,30.27,3.46
High,Europe,0.45,4.73,High,105234.51,82.51,95.99,4.5
High,Asia,3.24,4.88,High,54949.62,82.7,99.47,3.7
Medium,Europe,2.31,6.72,High,35653.9,82.7,92.71,8.07
High,Asia,0.01,9.82,Moderate,34065.64,84,98.66,2.62
Medium,Asia,5.48,2.49,Moderate,4332.25,77.09,85.71,18.2
Low,Asia,5.69,2.64,High,1739.72,72.05,76.49,4.77
Low,Asia,34.45,0.63,Moderate,2046.4,68.72,17.87,1.21
High,Europe,1.34,4.93,Moderate,20227.23,74.28,97.11,6.82
High,Europe,0.57,4.73,Moderate,25085.78,75.64,94.98,5.96
High,Europe,1.62,4.83,Negative,123719.66,82.95,99.53,4.59
Low,Africa,35.35,0.94,Moderate,503.51,63.07,22.24,3.19
High,Asia,11.1,1.98,High,11748.09,75.44,93.94,3.93
High,Europe,1.61,6.38,Moderate,36224.28,82.45,99.77,2.93
Low,Americas,8.01,2.97,Moderate,11402.14,73.97,43.04,3.26
Medium,Asia,4.36,3.12,High,4993.51,71.9,39.28,5.95
Medium,Europe,0.14,6.88,High,9990.2,76.19,85.12,14.85
Medium,Africa,4.49,2.32,Moderate,3455.4,75.16,74.82,11.79
High,Europe,0.44,6.92,High,59123.32,81.61,99.97,3.53
High,Oceania,2.46,8.15,High,48760.04,81.96,100,3.3
High,Europe,0.46,6.81,Moderate,109269.52,82.51,98.82,3.23
Medium,Asia,13.98,2.46,Moderate,23223.58,77.91,90.85,3.3
Low,Americas,18.17,4.08,Negative,6205.63,72.32,64.22,6.76
Low,Americas,2.32,3.91,Moderate,7350.63,76.83,51.99,4.29
Low,Asia,11.22,2.32,High,3548.07,69.47,47.9,2.6
Medium,Europe,0.06,4.68,High,18891.21,77.16,88.91,2.81
High,Europe,0.41,6.53,High,24620.52,81.63,95.16,6.01
Medium,Europe,15.86,4.46,High,15557.88,75.15,82.07,5.61
Low,Europe,0.29,4.89,Negative,15619.61,72.55,76.23,3.87
High,Oceania,0.04,5.02,Negative,3869.47,71.55,62.19,5.05
Medium,Africa,61.73,0.9,Moderate,1574.03,67.79,26.69,2.84
Medium,Europe,0.11,5.95,High,10022.97,75.24,75.08,8.44
High,Europe,3.18,6.18,Moderate,21334.6,76.97,99.18,6.14
High,Europe,1.3,7.06,Moderate,28373.84,81.28,98.27,4.01
High,Asia,0.32,5.92,Moderate,32394.68,82.68,99.28,2.86
High,Europe,2.48,7.21,High,30270.27,83.13,99.57,12.92
Medium,Asia,3.83,1.76,Negative,3342.64,77.3,47.13,4.53
High,Europe,0.47,9.02,Moderate,55296.94,83.06,99.74,7.39
High,Europe,0.28,4.09,Moderate,94394.51,83.6,96.7,4.12
High,Europe,0.92,9.18,High,46062.99,81.01,99.8,3.77
High,Americas,0.81,9.1,Moderate,77860.91,77.43,97.47,3.65
Medium,Asia,1.7,2,High,4147.7,74.5,57.78,1.52
